cod_ine,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica
4625010026,4,3,0,0,4,0,0.0
4625010027,1,1,0,0,1,0,0.0
4625010028,2,2,0,0,2,0,10.92097993434891
4625010029,4,5,0,0,4,0,0.0
4625010030,6,4,0,0,2,0,5.25872081693237
4625010031,2,3,0,0,1,0,0.0
4625010032,3,2,0,0,1,1,6.33475267559932
4625010033,1,3,0,0,1,0,0.6216693742336614
4625010034,4,3,0,0,0,0,2.9836770994226627
4625010035,2,1,0,0,0,0,19.242564824134934
4625010036,4,5,0,0,1,0,16.33977378757974
4625010037,1,2,0,0,0,0,7.50382067803492
4625010039,2,4,0,0,8,0,3.433737669431759
4625010040,11,9,0,0,32,1,57.82234346160045
4625010041,27,6,0,0,5,0,0.0
4625010043,4,4,0,0,1,0,1.5050506516936824
4625010044,2,3,0,0,3,0,6.116940985801697
4625010045,2,5,0,0,1,0,17.635029148710977
4625010046,2,2,0,0,5,0,0.0
4625010047,2,1,0,0,2,1,1.2548948388697938
4625010048,2,4,0,0,3,0,0.0
4625010049,1,2,0,0,1,0,0.0
4625010050,1,1,0,0,12,0,9.095271861112767
4625010051,1,2,0,0,1,0,56.27628454933124
4625010052,2,3,0,0,8,0,0.0
4625010053,2,7,0,0,3,0,18.82647450789441
4625010054,16,4,0,0,6,0,4.379096804228054
4625010055,3,2,0,0,3,0,0.0
4625011001,1,6,0,0,4,0,0.0
4625011002,4,6,0,0,11,0,2.6011484678161647
4625011004,2,4,0,0,18,1,7.520122377616728
4625011005,0,0,0,0,8,0,0.0
4625011006,5,8,1,3,7,3,0.362454843329723
4625011008,0,0,0,0,8,2,0.0
4625011009,3,2,0,0,6,0,3.7732654067039566
4625011011,2,2,1,3,17,0,0.0
4625011012,7,5,2,2,36,0,6.264092550868337
4625011015,2,3,0,0,9,1,0.0
4625011017,2,3,0,0,13,0,0.0519842790478162
4625011019,8,7,3,2,15,1,5.95861796352394
4625011021,2,4,0,0,7,0,0.0
4625011022,2,3,1,2,2,1,0.0
4625011024,3,4,0,0,4,0,0.3118650876716094
4625011026,2,4,0,0,9,0,0.0
4625011028,1,1,0,0,5,1,0.0
4625011030,1,1,0,0,2,0,0.0
4625011031,3,7,1,2,3,0,8.184935612623354
4625011032,2,3,0,0,1,0,0.0
4625011033,2,1,0,0,2,0,14.362034397151913
4625011034,2,4,0,0,2,0,0.0
4625011035,2,5,0,0,2,0,0.0
4625011036,0,0,0,0,4,0,0.0
4625011037,1,4,0,0,0,0,0.0
4625011038,11,4,0,0,12,1,0.0794964801914691
4625011039,0,0,0,0,4,0,0.0
4625011040,3,3,0,0,5,0,0.6166493981599955
4625011041,1,3,0,0,9,0,4.522064408110657
4625011042,1,2,1,2,1,0,1.3449921605585125
4625011044,3,2,0,0,0,0,11.29216689716196
4625011045,3,4,0,0,1,0,0.0
4625011046,3,4,0,0,7,1,0.0
4625011047,1,4,0,0,1,0,0.0
4625011048,1,1,0,0,1,0,0.0
4625011050,3,5,0,0,3,0,6.510157963260872
4625011051,1,3,0,0,1,0,14.096984372151786
4625011052,0,0,0,0,5,0,6.081270717708103
4625011053,1,1,0,0,0,1,6.112492719744735
4625011054,1,2,0,0,3,0,0.0
4625011055,2,5,0,0,1,0,4.496953978711641
4625012001,1,2,0,0,3,0,0.0
4625012002,1,2,0,0,5,0,0.0
4625012003,0,0,0,0,8,0,0.0
4625012006,1,1,0,0,4,0,6.356905788206675
4625012008,0,0,0,0,2,0,0.0
4625012009,0,0,0,0,0,0,0.0
4625012010,1,1,2,2,2,1,20.332016426241395
4625012011,0,0,0,0,0,0,0.0
