cod_ine,id_candidato,dist_m
4625001002.0,J2E_0101,300.01
4625001002.0,J2E_0779,300.01
4625001002.0,J2E_0322,300.17
4625001002.0,J2E_0214,303.39
4625001002.0,J2E_0188,311.97
4625001002.0,J2E_0137,312.33
4625001002.0,J2E_0098,313.13
4625001002.0,J2E_0212,314.57
4625001002.0,J2E_0621,314.57
4625001002.0,J1_0062,320.19
4625001002.0,J2E_0560,320.19
4625001002.0,J2E_0343,324.11
4625001002.0,J1_0003,327.16
4625001002.0,J2E_0316,327.16
4625001002.0,J2E_0096,331.03
4625001002.0,J2E_0163,336.6
4625001002.0,J1_0118,339.06
4625001002.0,J2E_0105,340.03
4625001002.0,J2E_0215,340.56
4625001002.0,J2E_0541,345.4
4625001002.0,J2E_0097,349.54
4625001002.0,J2E_0375,352.58
4625001002.0,J2E_0099,355.68
4625001002.0,J2E_0046,355.99
4625001002.0,J2E_0314,355.99
4625001002.0,J2E_0174,362.15
4625001002.0,J2E_0049,363.73
4625001002.0,J2E_0042,365.33
4625001002.0,J2E_0213,365.67
4625001002.0,J2E_0220,371.32
4625001002.0,J2E_0108,381.52
4625001002.0,J2E_0189,388.29
4625001002.0,J2E_0041,394.45
4625001002.0,J2E_0217,400.59
4625001002.0,J2E_0547,402.11
4625001002.0,J2E_0008,403.79
4625001002.0,J2E_0004,410.14
4625001002.0,J2E_0542,410.79
4625001002.0,J2E_0548,422.5
4625001002.0,J2E_0216,424.08
4625001002.0,J2E_0229,424.84
4625001002.0,J2E_0085,440.8
4625001002.0,J2E_0235,441.37
4625001002.0,J2E_0339,445.97
4625001002.0,J1_0028,446.02
4625001002.0,J2E_0172,446.02
4625001002.0,J1_0009,461.18
4625001002.0,J2E_0315,461.18
4625001002.0,J2E_0540,461.18
4625001002.0,J2E_0518,466.7
4625001002.0,J2E_0107,467.95
4625001002.0,J2E_0226,468.36
4625001002.0,J2E_0154,468.78
4625001002.0,J2E_0501,478.67
4625001002.0,J1_0084,486.2
4625001002.0,J2V_0235,488.81
4625001002.0,J1_0016,489.45
4625001002.0,J2E_0546,491.54
4625001002.0,J1_0000,492.79
4625001002.0,J2E_0367,510.25
4625001002.0,J2E_0047,511.43
4625001002.0,J2E_0209,512.73
4625001002.0,J1_0064,512.94
4625001002.0,J2E_0332,520.69
4625001002.0,J0_12,523.0
4625001002.0,J1_0061,527.37
4625001002.0,J2E_0780,531.54
4625001002.0,J2E_0306,542.74
4625001002.0,J2E_0095,553.79
4625001002.0,J2E_0218,571.59
4625001002.0,J2E_0566,593.67
4625001002.0,J2E_0090,594.27
4625001002.0,J2E_0168,595.88
4625001002.0,J2E_0173,603.42
4625001002.0,J2E_0219,603.71
4625001002.0,J2E_0569,604.15
4625001002.0,J2E_0048,607.16
4625001002.0,J2E_0355,607.62
4625001002.0,J2E_0572,612.06
4625001002.0,J2E_0133,615.45
4625001002.0,J2V_0230,615.56
4625001002.0,J2E_0179,617.32
4625001002.0,J2E_0204,618.71
4625001002.0,J2E_0545,638.41
4625001002.0,J1_0046,643.78
4625001002.0,J2E_0324,643.78
4625001002.0,J2E_0156,645.55
4625001002.0,J2E_0523,646.64
4625001002.0,J2E_0620,667.41
4625001002.0,J2E_0543,668.77
4625001002.0,J1_0059,672.91
4625001002.0,J2E_0549,675.04
4625001002.0,J2E_0221,676.17
4625001002.0,J2E_0335,684.1
4625001002.0,J1_0012,692.96
4625001002.0,J1_0068,692.97
4625001002.0,J2E_0208,692.97
4625001002.0,J2E_0113,694.43
4625001002.0,J2E_0307,707.2
4625001002.0,J2E_0232,713.7
4625001002.0,J2E_0528,720.82
4625001002.0,J2E_0551,721.88
4625001002.0,J1_0143,727.5
4625001002.0,J2E_0333,727.5
4625001002.0,J2E_0527,729.83
4625001002.0,J2E_0544,731.59
4625001002.0,J2E_0094,742.67
4625001002.0,J1_0024,743.09
4625001002.0,J2E_0093,743.23
4625001002.0,J2E_0051,748.74
4625001002.0,J2E_0183,749.06
4625001002.0,J2E_0364,749.91
4625001002.0,J1_0066,764.61
4625001002.0,J1_0074,786.83
4625001002.0,J2E_0319,793.86
4625001002.0,J2E_0313,797.38
4625001002.0,J1_0108,799.14
4625001002.0,J2E_0724,800.48
4625001002.0,J2E_0338,803.54
4625001002.0,J2V_0261,806.18
4625001002.0,J2E_0623,812.5
4625001002.0,J2E_0112,818.76
4625001002.0,J2E_0001,824.02
4625001002.0,J2E_0376,828.49
4625001002.0,J2E_0206,834.31
4625001002.0,J1_0045,835.31
4625001002.0,J1_0056,835.31
4625001002.0,J2E_0050,835.31
4625001002.0,J1_0011,842.63
4625001002.0,J2E_0558,852.11
4625001002.0,J2E_0222,864.74
4625001002.0,J2E_0053,866.23
4625001002.0,J1_0020,883.31
4625001002.0,J2E_0562,883.31
4625001002.0,J2E_0280,889.57
4625001002.0,J2E_0725,892.73
4625001002.0,J2E_0089,893.67
4625001002.0,J2E_0341,940.79
4625001002.0,J2V_0215,940.79
4625001002.0,J2E_0475,941.03
4625001002.0,J2V_0272,941.03
4625001002.0,J2E_0088,941.5
4625001002.0,J2E_0539,950.46
4625001002.0,J2E_0340,950.91
4625001002.0,J2E_0559,965.29
4625001002.0,J2E_0571,967.93
4625001002.0,J1_0091,970.91
4625001002.0,J2V_0231,972.29
4625001002.0,J1_0101,973.59
4625001002.0,J1_0140,973.59
4625001002.0,J2E_0538,977.65
4625001002.0,J2V_0210,979.34
4625001002.0,J2E_0190,982.15
4625001002.0,J2E_0447,982.69
4625001002.0,J1_0052,983.2
4625001002.0,J1_0044,984.27
4625001002.0,J1_0067,1037.15
4625001002.0,J2E_0362,1037.15
4625001002.0,J2E_0092,1038.37
4625001002.0,J2E_0091,1046.53
4625001002.0,J2E_0622,1053.16
4625001002.0,J2V_0283,1053.17
4625001002.0,J2E_0054,1054.21
4625001002.0,J2E_0228,1055.4
4625001002.0,J2E_0337,1058.27
4625001002.0,J2E_0457,1098.94
4625001002.0,J2E_0458,1101.8
4625001002.0,J2E_0617,1102.92
4625001002.0,J2V_0213,1106.21
4625001002.0,J2V_0227,1107.28
4625001002.0,J2E_0366,1116.87
4625001002.0,J2E_0466,1117.0
