cod_ine,coddistrit,pct_65mas_norm,renta_pc_norm,suhi_ref_norm,ndvi_ref_norm,HVI,HVI_quintil
4625003044,03,0.605385,0.515999,0.794345,0.734645,0.662594,Q2 bajo
4625003046,03,0.533941,0.628776,0.828957,0.833369,0.706261,Q3 medio
4625003047,03,0.591647,0.625918,0.843322,0.793976,0.713716,Q4 alto
4625003048,03,0.599729,0.519056,0.892168,0.855325,0.71657,Q4 alto
4625003049,03,0.493875,0.606845,0.83639,0.754974,0.673021,Q2 bajo
4625003050,03,0.596713,0.532181,0.870043,0.848815,0.711938,Q4 alto
4625003052,03,0.508812,0.63253,0.805757,0.811451,0.689638,Q3 medio
4625003053,03,0.444975,0.650806,0.836766,0.859588,0.698034,Q3 medio
4625003055,03,0.797308,0.427945,0.842959,0.857157,0.731342,Q4 alto
4625004001,04,0.64048,0.583486,0.806195,0.669784,0.674986,Q2 bajo
4625004002,04,0.53438,0.782954,0.879215,0.918913,0.778866,Q5 muy alto
4625004003,04,0.526676,0.666921,0.872057,0.734123,0.699944,Q3 medio
4625004004,04,0.691314,0.741685,0.876955,0.837977,0.786983,Q5 muy alto
4625004005,04,0.842888,0.559661,0.829272,0.694013,0.731458,Q4 alto
4625004006,04,0.767596,0.59166,0.783364,0.541235,0.670964,Q2 bajo
4625004007,04,0.646319,0.698555,0.832177,0.652548,0.7074,Q3 medio
4625004008,04,0.628515,0.693437,0.721852,0.56431,0.652028,Q2 bajo
4625004009,04,0.509496,0.801794,0.773822,0.716025,0.700284,Q3 medio
4625004010,04,0.603008,0.676558,0.871735,0.873265,0.756142,Q5 muy alto
4625004011,04,0.524051,0.801462,0.863214,0.771875,0.74015,Q5 muy alto
4625004012,04,0.40188,0.864961,0.859186,0.876821,0.750712,Q5 muy alto
4625004014,04,0.454997,0.803389,0.888654,0.89924,0.76157,Q5 muy alto
4625004015,04,0.556359,0.823326,0.846753,0.835664,0.765526,Q5 muy alto
4625004016,04,0.48018,0.851337,0.909067,0.904558,0.786286,Q5 muy alto
4625004017,04,0.737037,0.667021,0.847884,0.697604,0.737386,Q5 muy alto
4625004018,04,0.284683,0.597109,0.951852,0.567639,0.600321,Q1 muy bajo
4625004019,04,0.153361,0.570959,0.750772,0.541414,0.504127,Q1 muy bajo
4625004020,04,0.709404,0.596378,0.787789,0.672919,0.691622,Q3 medio
4625004021,04,0.57802,0.633793,0.709673,0.495964,0.604362,Q1 muy bajo
4625004022,04,0.665326,0.693604,0.859577,0.780693,0.7498,Q5 muy alto
4625004023,04,0.734946,0.717927,0.73138,0.447419,0.657918,Q2 bajo
4625004024,04,0.222787,0.547765,0.793386,0.69724,0.565294,Q1 muy bajo
