cod_ine,nodo_red,dist_snap_m
4625016009,257608313,24.01
4625016010,11712294699,21.74
4625016011,257608176,55.4
4625016012,11725757401,15.66
4625016013,11725757462,33.73
4625016014,257608046,16.11
4625016015,257607978,32.97
4625016016,10833806130,17.07
4625016017,1974060041,3.75
4625016018,11763748814,18.22
4625016019,1636773426,16.42
4625016020,7136311818,28.79
4625016021,10184475548,11.75
4625016022,257848766,23.75
4625016023,11804767106,33.48
4625016024,10833678391,6.34
4625016025,1632907547,41.71
4625016026,11763748988,37.84
4625016027,6768929347,34.82
4625016028,11820033507,23.76
4625016029,257608354,4.45
4625016030,11756849255,40.47
4625016031,2846561604,40.65
4625016032,1341008568,3.05
4625016033,11576270919,5.49
4625017001,575862492,3233.04
4625017002,1798426631,49.18
4625017003,6802610908,3.97
4625017006,4017748516,831.49
4625017007,11937056057,24.32
4625017008,4017748516,2962.33
4625018001,343507067,22.51
4625018002,343505893,13.85
4625018003,571522869,58.51
4625018004,115577973,52.33
4625018005,344427669,37.21
4625018006,571522865,40.04
4625018007,11830452698,3.75
4625018008,12641739652,61.25
4625018009,3702964479,105.33
4625018010,11811382011,28.08
4625019001,513502281,61.29
4625019002,12305894085,11.01
4625019003,12305981257,9.06
4625019004,559970548,20.81
4625019005,12312642925,45.97
4625019006,13384188169,43.28
4625019007,429652573,290.16
4625019008,5753685734,82.8
4625019009,705425807,2703.44
4625019011,12334034740,34.94
4625019012,12313786207,103.71
4625019013,7045108748,20.06
4625019014,9280655867,52.79
4625019015,559965148,46.38
4625019016,2214824908,313.07
