cod_ine,coddistrit,pob_total,HVI,FP,wk
4625010018,10,1625,0.68719,0.25786,0.702407
4625010019,10,1394,0.727424,0.195428,0.751121
4625010021,10,1846,0.72794,0.074468,0.692322
4625010022,10,2284,0.723709,0.202938,0.747486
4625010023,10,1149,0.750516,0.037234,0.718567
4625010024,10,2248,0.739887,0.05,0.703855
4625010025,10,1466,0.666509,0.137234,0.601841
4625010026,10,1808,0.793504,0.186455,0.877402
4625010027,10,929,0.727686,0.087234,0.698133
4625010028,10,1299,0.714868,0.29023,0.773167
4625010029,10,1953,0.676323,0.215704,0.660062
4625010030,10,1299,0.663136,0.287569,0.669516
4625010031,10,2008,0.713701,0.137234,0.695195
4625010032,10,1708,0.699856,0.298621,0.74762
4625010033,10,1211,0.723563,0.166879,0.729365
4625010034,10,1548,0.708438,0.184755,0.708285
4625010035,10,1140,0.621729,0.234434,0.561327
4625010036,10,1019,0.659091,0.341425,0.688148
4625010037,10,1136,0.660375,0.210502,0.625941
4625010039,10,2770,0.540966,0.325445,0.446572
4625010040,10,1963,0.606311,0.663718,0.743129
4625010041,10,873,0.691872,0.236617,0.701163
4625010043,10,2723,0.720973,0.20964,0.745389
4625010044,10,1268,0.686854,0.294805,0.720013
4625010045,10,797,0.732483,0.345842,0.835516
4625010046,10,910,0.760104,0.175498,0.805912
4625010047,10,1305,0.733311,0.218826,0.774338
4625010048,10,2224,0.65829,0.190565,0.611956
4625010049,10,1514,0.712401,0.116483,0.682361
4625010050,10,1211,0.713137,0.329556,0.789192
4625010051,10,1358,0.565457,0.364694,0.51443
4625010052,10,2137,0.575949,0.21803,0.462653
4625010053,10,2327,0.544844,0.407629,0.494887
4625010054,10,3263,0.5674,0.323796,0.498048
4625010055,10,3058,0.529615,0.153717,0.33919
4625011001,11,1674,0.712535,0.226823,0.737194
4625011002,11,1502,0.69091,0.352416,0.756528
4625011004,11,1299,0.718068,0.465589,0.866221
4625011005,11,1676,0.711494,0.11803,0.681332
4625011006,11,1272,0.720088,0.40907,0.842265
4625011008,11,2119,0.725028,0.213053,0.755098
4625011009,11,2428,0.66147,0.279621,0.662289
4625011011,11,1540,0.698954,0.234512,0.714131
4625011012,11,1755,0.716811,0.44481,0.853458
4625011015,11,867,0.747339,0.283642,0.834143
4625011017,11,1640,0.74266,0.244872,0.805713
4625011019,11,941,0.761748,0.477847,0.95869
4625011021,11,1168,0.725072,0.227799,0.762478
4625011022,11,1094,0.710052,0.218968,0.728398
4625011024,11,845,0.707834,0.219197,0.724124
4625011026,11,1516,0.751741,0.239786,0.821162
4625011028,11,1471,0.726091,0.206202,0.753813
4625011030,11,1214,0.735844,0.109015,0.725042
4625011031,11,963,0.687575,0.360447,0.753902
4625011032,11,1181,0.685685,0.137234,0.639774
4625011033,11,1803,0.694542,0.276532,0.726184
4625011034,11,1586,0.722252,0.175112,0.730843
4625011035,11,1056,0.737566,0.188263,0.767641
4625011036,11,953,0.748702,0.086455,0.739321
4625011037,11,978,0.735736,0.116096,0.728331
4625011038,11,1433,0.703197,0.318523,0.764072
4625011039,11,1311,0.750755,0.086455,0.743382
4625011040,11,1112,0.66648,0.225704,0.645536
4625011041,11,2474,0.690489,0.328468,0.743852
4625011042,11,1299,0.697837,0.168744,0.679396
4625011044,11,1055,0.696257,0.233095,0.708095
4625011045,11,1120,0.703711,0.153331,0.683394
4625011046,11,1625,0.720928,0.287752,0.78393
