cod_ine,suhi_2023,suhi_2024,suhi_2025
4625005037,3.0448274259165617,3.202563348702552,4.536996040977712
4625005038,4.266715623744877,3.0946661170399716,4.351153165025283
4625005039,4.039320484801223,2.909184472782972,4.492913553449107
4625005040,3.0710956084917793,3.4729727237160994,4.639333002683408
4625005041,4.11026316580712,2.422823974335958,4.803147630496124
4625005042,5.421117198346732,3.8581521401442065,5.664115703075046
4625005043,5.284506545872371,3.9353193486364146,4.871667371191087
4625005044,3.5404577122209133,2.6987784188316386,4.342655566398227
4625006001,1.9477875306279124,1.2576344716841104,2.3237966779157997
4625006002,3.0208572351018463,2.626702208415607,3.245005824347736
4625006003,4.163603677050875,2.993221210200878,4.237021735758812
4625006004,2.531797455209379,1.477224515535979,2.8070394908515577
4625006006,0.8763787839278075,-0.22279874706876487,1.2446807028327707
4625006007,4.002198715337315,2.1219199789101544,3.5675160666302483
4625006008,3.084034725554672,2.322349915813831,3.0996655639035566
4625006009,4.757327054119163,3.8975116325926975,4.581275417722921
4625006011,4.338215197120936,3.948694517307258,3.991801128886443
4625006012,1.848368381044649,2.3629091128132673,2.3517123930519017
4625006013,3.904373269296021,3.6233046976275944,3.9461174993825225
4625006014,4.05434396312728,3.9126874129551426,3.8239483306443325
4625006015,4.115284647810943,3.2190346184913916,3.4456076624434795
4625006016,3.4043588401110525,3.6608019343231804,4.056300562535773
4625006017,3.6248209384708545,4.820140253872903,4.246002046263336
4625006018,0.6998136191622099,0.9232059275029081,1.527958819668463
4625006019,2.3838723004637763,3.146383155892396,3.905682563432882
4625006021,3.475173548728209,4.407688437001801,3.617975068731304
4625006022,4.339647331740887,4.516302739651047,3.917459075808352
4625006023,4.048311755589023,3.5610449512653406,3.237497395927329
4625006024,3.69741983139316,3.6069116478317844,3.2531983536640885
4625006026,3.296374865771769,2.4520117858568224,2.7319742895624817
4625006027,3.711256145939309,2.664362312967713,2.7742238094306004
4625007001,6.343625050295819,4.713405671410675,5.361528595002005
4625007002,6.789501097199039,5.023868851035757,5.309592399095767
4625007003,4.59042204555656,3.4466960395058104,3.127624089211224
4625007004,6.339705556472051,4.835617573193845,5.458300658146632
4625007005,5.756032798807582,5.136043357576928,4.884609739653798
4625007006,5.150909179833505,6.163248052046243,4.917019574613716
4625007007,5.156862965831683,7.296327107403976,5.705183532355328
4625007008,4.250116772830164,5.890152490933146,4.423908964306308
4625007009,4.6514679005040405,6.487131721272533,4.886172055379048
4625007010,4.063262816003912,2.907492755141828,3.721349222178018
4625007012,4.183289438105117,5.177101767828104,5.189003373078004
4625007013,3.8823495369575194,5.457120232739591,5.021840333101409
4625007014,4.396556809131175,4.6221760803236105,4.894295485429787
4625007015,5.331533695498261,4.229827505196102,4.5569189763545825
4625007016,5.274718205296221,5.61123862456695,5.0971342008821905
4625007017,6.359388558164282,4.769420770118579,4.838742048547812
4625007018,6.513893778127131,5.5643650939318325,5.752469005924525
4625007019,5.152352877056182,5.571628532687865,4.9347851861695124
4625007020,4.881852136561018,5.756515123566041,5.07382753478206
4625007021,5.182831441878178,5.4413625711490825,5.215290828788389
4625007022,4.568522297368181,3.9984769439970544,4.700345407782931
4625007023,5.219870857784199,4.956620723841631,4.77503617525057
4625007024,5.038476398450672,4.360236165295432,5.234202864788791
4625007025,3.9245191904610923,3.4875201052036937,4.35329386833874
4625007026,3.76669139016933,5.863032980121275,4.746405511372393
4625007027,4.213231489163396,5.19467691550707,5.041140032237445
4625007030,3.5040299726813875,5.9186293786526205,4.761693489972879
4625007031,5.044994834314795,4.762030282115196,5.390660629967595
4625007032,3.900819561278195,4.351003876924085,4.495843475491293
4625007036,3.166391718156016,2.968415863305384,4.058021192841347
4625007037,4.5670725651633335,4.152161924072714,4.775545242544832
4625007039,3.423279455696032,4.048644084551841,4.761884690471812
4625007040,3.1849119731517055,2.6382311794619624,4.009574674896614
4625007041,6.376533915864948,6.862172737802549,5.245435296583967
4625007042,4.326867483927115,4.305568758886484,4.469836060488143
4625008001,4.105228682823898,3.752016420827868,4.293683190382684
4625008002,4.913594932036991,6.111725465888644,4.943878177274405
4625008003,5.220709405079789,4.592668088465054,5.238068232617319
4625008004,4.306705231150575,3.728456053548371,4.735064926982028
4625008006,4.08363150747629,5.059250095918608,4.272980502070578
4625008007,6.4309262531197335,5.803150508143805,6.317555470933742
4625008008,5.145480883332629,4.8099976947114405,5.266691004964347
4625008009,5.038034563236045,4.739933726423135,4.89248979822916
4625008010,5.361009455003653,4.198900120595586,5.345684551576479
4625008012,3.5724892526849517,2.7394285576307182,4.226508331919682
4625008013,5.11349133538022,4.050834433524599,4.964702672034207
4625008014,5.234782854046183,3.7342872259597604,4.9126070587435455
4625008015,5.7606417816680535,4.691492774485999,5.416667243198379
4625008016,5.21619929162956,3.5383815134473804,5.026876130832595
4625008017,4.704568174931324,3.7206743588286737,5.188249914900803
4625008018,4.890642611254051,3.4759299025483292,4.857745184170342
4625008019,3.0089553065159835,3.56824498110911,3.9918639330912105
4625008020,4.536856955585564,4.021122697672385,5.1475865972051755
4625008021,4.9573779699750355,4.918844526503865,4.76918635874162
4625008022,5.265036959289408,4.5092662288124705,5.556795847051453
4625008023,4.371369223947852,3.015508848718471,4.255565043747931
4625008024,5.501272100220298,5.222315743393953,6.7411875480319825
4625008025,3.902579291064082,3.215295117475414,4.199981408239576
4625008026,5.682989362098532,4.960050858911841,5.260018075486338
4625008027,4.07410559086148,3.663215633265802,4.208471722563015
4625008028,3.491024432804117,2.9315331264131252,4.273649461856387
4625008029,3.385254133638042,2.302113740696355,3.190179542995325
4625008030,3.832363822407968,2.9495232310917254,4.261115120736269
4625008031,5.07935839577882,5.064620191624634,5.586433478508464
4625008032,4.740180123604169,6.243562083131834,5.946141372855625
4625008033,5.52832653675661,6.028291158620587,5.784549974095641
4625008034,3.6697420615164607,3.209785638898053,4.026069453376728
4625008035,3.2928725753581984,2.7597296745179065,3.461866315982457
4625008036,4.548000383329004,3.7682762545935855,4.993777480794016
4625008037,4.197134904556882,3.6353066412902253,4.579301381416961
4625008038,3.537888075692873,2.5284890927391994,3.837210349447527
4625008039,5.524070967136048,5.99550946246976,5.203865345589455
4625008040,5.8187949955211815,4.771051603513289,5.5753426063261236
4625008041,4.457416005019498,3.54822722282957,4.797019243270238
4625008042,3.6186379278395875,2.704545589952111,3.868580704934374
4625009001,5.385806409968293,4.974255254321365,4.975922177191827
4625009002,5.569596994518723,5.50744073702719,5.805170691203114
4625009003,5.860755840839057,5.632716669565711,5.956338973217178
4625009004,5.87655316712268,4.574759400951292,5.345003729582781
