cod_ine,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025
4625010049,19.5302,20.2515,20.2774
4625010050,22.4152,22.8385,23.6994
4625010051,16.6667,17.4627,18.0412
4625010052,16.2859,16.7291,17.8287
4625010053,14.5982,14.8421,15.2557
4625010054,13.7978,12.1434,10.5424
4625010055,5.4041,5.871,6.2786
4625011001,15.5172,15.7928,15.3524
4625011002,11.8728,10.7427,11.2517
4625011004,20.7472,20.5586,19.3995
4625011005,17.6879,18.0164,18.5561
4625011006,22.0874,21.5397,21.6981
4625011008,18.3683,18.6441,18.6881
4625011009,15.5071,15.6732,15.8979
4625011011,20.7927,22.664,23.1169
4625011012,23.8462,22.849,23.1339
4625011015,28.6571,29.4749,28.0277
4625011017,19.0114,17.9949,20.7927
4625011019,28.9247,28.1316,28.3741
4625011021,20.017,20.3671,19.5205
4625011022,16.5824,16.5692,15.9963
4625011024,17.7891,16.6065,16.9231
4625011026,22.9739,22.5895,22.1636
4625011028,22.1306,21.8009,22.0258
4625011030,21.9144,22.2597,22.7348
4625011031,21.3684,21.1838,21.4953
4625011032,14.5059,14.8992,15.6647
4625011033,28.7929,30.2587,31.0039
4625011034,27.3999,29.2807,30.3279
4625011035,26.9841,27.3547,27.3674
4625011036,18.931,18.0921,17.9433
4625011037,18.8119,18.8172,17.7914
4625011038,24.5084,24.5589,24.1452
4625011039,24.4057,25.0394,24.7902
4625011040,22.1347,24.1807,26.1691
4625011041,20.6139,20.418,20.8165
4625011042,18.4147,17.6876,17.7059
4625011044,18.0599,17.2139,16.3981
4625011045,16.8972,16.1232,16.3393
4625011046,19.9734,18.9433,17.7231
4625011047,19.2771,19.3324,18.1876
4625011048,19.7056,19.2492,19.2006
4625011050,34.4799,35.1684,35.313
4625011051,27.7076,28.3258,29.7371
4625011052,20.1505,20.8401,21.788
4625011053,17.3294,17.7036,18.4018
4625011054,15.4882,15.6879,16.1074
4625011055,22.5443,24.2938,21.8487
4625012001,21.4795,21.4831,21.1105
4625012002,20.4319,20.5276,19.6581
4625012003,22.9721,23.7883,23.7618
4625012006,22.7505,22.4318,21.7454
4625012008,24.277,24.7748,25.3414
4625012009,28.937,28.9086,27.8641
4625012010,27.8736,27.1478,26.9391
4625012011,17.718,18.2401,18.5219
4625012012,18.9335,18.8929,19.1247
4625012013,18.9474,19.0926,19.1686
4625012014,14.5833,14.7484,15.4755
4625012015,16.9106,17.7006,16.152
4625012016,10.7659,11.6464,12.5265
4625012018,19.8606,20.068,20.097
4625012019,19.3201,18.6104,19.724
4625012020,26.0905,27.0627,27.6063
4625012021,21.8041,21.1596,21.1529
4625012023,26.7361,25.8783,25.1248
4625012024,21.0917,20.9386,21.3071
4625012025,15.1374,16.3667,17.3949
