cod_ine,n_edificios,pct_anterior_1980,pct_posterior_2010
4625010010,32,71.875,0.0
4625010011,21,90.4762,0.0
4625010012,31,90.3226,0.0
4625010013,224,87.9464,3.5714
4625010014,47,65.9574,0.0
4625010015,12,100.0,0.0
4625010016,54,72.2222,5.5556
4625010017,22,86.3636,4.5455
4625010018,55,69.0909,3.6364
4625010019,66,75.7576,4.5455
4625010021,54,79.6296,3.7037
4625010022,28,42.8571,10.7143
4625010023,24,54.1667,0.0
4625010024,25,64.0,0.0
4625010025,22,40.9091,45.4545
4625010026,31,70.9677,3.2258
4625010027,10,60.0,0.0
4625010028,24,79.1667,0.0
4625010029,40,67.5,0.0
4625010030,132,84.0909,6.0606
4625010031,69,89.8551,2.8986
4625010032,61,86.8852,0.0
4625010033,18,94.4444,5.5556
4625010034,28,89.2857,3.5714
4625010035,11,100.0,0.0
4625010036,22,86.3636,4.5455
4625010037,25,96.0,0.0
4625010039,52,51.9231,32.6923
4625010040,25,0.0,16.0
4625010041,649,92.1418,0.4622
4625010043,14,42.8571,28.5714
4625010044,57,75.4386,0.0
4625010045,10,90.0,0.0
4625010046,16,93.75,0.0
4625010047,19,63.1579,0.0
4625010048,39,58.9744,5.1282
4625010049,15,53.3333,6.6667
4625010050,15,53.3333,0.0
4625010051,17,47.0588,29.4118
4625010052,6,0.0,0.0
4625010053,8,0.0,0.0
4625010054,127,62.9921,16.5354
4625010055,24,0.0,91.6667
4625011001,53,71.6981,1.8868
4625011002,78,80.7692,6.4103
4625011004,71,76.0563,1.4085
4625011005,55,80.0,0.0
4625011006,108,48.1481,6.4815
4625011008,361,91.4127,1.662
4625011009,146,84.9315,0.6849
4625011011,175,88.5714,1.7143
4625011012,198,89.899,1.5152
4625011015,90,88.8889,3.3333
4625011017,202,93.5644,0.0
4625011019,221,95.0226,0.4525
4625011021,333,92.4925,1.5015
4625011022,314,95.8599,1.2739
4625011024,228,98.2456,0.4386
4625011026,134,92.5373,1.4925
4625011028,335,80.8955,3.5821
4625011030,328,85.9756,3.9634
4625011031,100,84.0,6.0
4625011032,51,90.1961,0.0
4625011033,31,58.0645,0.0
4625011034,26,76.9231,3.8462
4625011035,54,88.8889,0.0
4625011036,52,88.4615,0.0
4625011037,46,100.0,0.0
4625011038,170,70.0,2.3529
4625011039,94,91.4894,0.0
4625011040,18,50.0,0.0
4625011041,98,62.2449,5.102
4625011042,69,100.0,0.0
4625011044,272,80.1471,3.3088
4625011045,125,84.0,1.6
4625011046,179,85.4749,1.676
4625011047,152,88.1579,3.2895
4625011048,121,87.6033,0.8264
4625011050,25,80.0,4.0
4625011051,18,38.8889,0.0
4625011052,26,53.8462,0.0
4625011053,19,52.6316,0.0
4625011054,20,45.0,0.0
4625011055,29,48.2759,17.2414
4625012001,57,96.4912,0.0
4625012002,17,88.2353,0.0
4625012003,66,89.3939,0.0
4625012006,54,98.1481,0.0
4625012008,51,88.2353,0.0
4625012009,21,100.0,0.0
4625012010,34,82.3529,0.0
4625012011,47,82.9787,6.383
4625012012,54,79.6296,5.5556
4625012013,63,76.1905,1.5873
4625012014,64,73.4375,3.125
4625012015,44,93.1818,0.0
4625012016,45,62.2222,2.2222
4625012018,66,78.7879,3.0303
4625012019,67,68.6567,2.9851
4625012020,39,61.5385,2.5641
4625012021,71,85.9155,1.4085
4625012023,30,83.3333,0.0
4625012024,13,38.4615,7.6923
4625012025,10,30.0,0.0
4625012026,20,100.0,0.0
4625012027,2,100.0,0.0
4625012028,64,78.125,3.125
4625012029,27,74.0741,3.7037
4625012030,34,79.4118,0.0
4625012031,24,79.1667,0.0
4625012032,11,90.9091,0.0
4625012033,31,77.4194,0.0
4625012034,28,89.2857,0.0
4625012035,110,98.1818,0.0
4625012036,26,73.0769,0.0
4625012037,17,23.5294,11.7647
4625012038,20,10.0,0.0
4625012039,17,76.4706,0.0
4625012040,20,30.0,10.0
4625012041,17,0.0,11.7647
4625012042,13,0.0,0.0
4625012043,19,84.2105,0.0
4625012044,26,57.6923,3.8462
4625012045,11,0.0,0.0
4625012046,12,0.0,16.6667
4625012047,33,54.5455,3.0303
4625012048,13,0.0,7.6923
4625013001,41,92.6829,0.0
4625013002,34,76.4706,0.0
4625013003,11,72.7273,9.0909
4625013004,43,97.6744,0.0
4625013005,24,41.6667,0.0
4625013007,23,78.2609,0.0
4625013008,32,75.0,3.125
4625013009,27,100.0,0.0
4625013010,10,60.0,0.0
4625013011,18,72.2222,0.0
4625013012,17,64.7059,0.0
4625013013,15,26.6667,0.0
4625013014,11,90.9091,0.0
4625013015,36,91.6667,0.0
4625013016,40,85.0,0.0
4625013017,44,68.1818,0.0
4625013019,16,62.5,0.0
4625013020,22,81.8182,0.0
4625013021,28,60.7143,0.0
4625013022,28,67.8571,0.0
4625013023,33,66.6667,0.0
4625013024,41,70.7317,0.0
4625013025,104,64.4231,4.8077
4625013026,13,53.8462,0.0
4625013027,9,22.2222,22.2222
4625013028,15,40.0,0.0
4625013029,43,88.3721,0.0
4625013030,12,58.3333,0.0
4625014001,22,27.2727,0.0
4625014002,117,77.7778,2.5641
4625014004,37,86.4865,0.0
4625014005,41,80.4878,0.0
4625014006,63,95.2381,1.5873
4625014007,98,86.7347,6.1224
4625014008,129,82.9457,3.1008
4625014009,133,76.6917,4.5113
4625014010,139,86.3309,2.1583
4625014012,37,62.1622,5.4054
4625014013,35,74.2857,2.8571
4625014014,33,51.5152,3.0303
4625014015,22,72.7273,4.5455
4625014016,39,87.1795,0.0
4625014018,23,69.5652,0.0
4625014019,18,33.3333,5.5556
4625014020,69,63.7681,0.0
4625014021,14,7.1429,7.1429
4625014022,23,65.2174,4.3478
4625014023,20,45.0,0.0
4625014024,4,0.0,0.0
4625015001,20,100.0,0.0
4625015002,19,68.4211,0.0
4625015003,34,70.5882,0.0
4625015004,91,92.3077,0.0
4625015005,27,77.7778,3.7037
4625015006,34,82.3529,2.9412
4625015007,17,100.0,0.0
4625015008,22,95.4545,0.0
4625015010,30,83.3333,0.0
4625015011,21,100.0,0.0
4625015012,57,87.7193,1.7544
4625015013,30,76.6667,0.0
4625015014,110,91.8182,0.9091
4625015015,40,82.5,2.5
4625015016,67,85.0746,0.0
4625015017,44,86.3636,0.0
4625015018,62,77.4194,0.0
4625015019,27,85.1852,0.0
4625015020,77,81.8182,0.0
4625015021,43,72.093,0.0
4625015022,47,82.9787,4.2553
4625015023,22,77.2727,0.0
4625015024,24,70.8333,0.0
4625015025,21,80.9524,0.0
4625015026,81,86.4198,1.2346
4625015027,45,86.6667,0.0
4625015028,10,10.0,10.0
4625015029,12,16.6667,16.6667
4625015030,21,52.381,9.5238
4625015031,46,80.4348,2.1739
4625015032,16,93.75,0.0
4625015033,8,37.5,0.0
4625015034,15,20.0,0.0
4625015035,9,22.2222,0.0
4625015036,14,92.8571,0.0
4625015037,13,7.6923,7.6923
4625015038,59,64.4068,6.7797
4625015039,61,73.7705,1.6393
4625015040,5,0.0,0.0
4625016001,151,78.8079,3.3113
4625016002,39,79.4872,0.0
4625016003,68,80.8824,1.4706
4625016004,50,90.0,0.0
4625016005,99,76.7677,1.0101
4625016006,55,90.9091,0.0
4625016008,46,76.087,0.0
4625016009,56,94.6429,0.0
4625016010,71,81.6901,0.0
4625016011,45,82.2222,4.4444
4625016012,56,87.5,1.7857
4625016013,51,92.1569,0.0
4625016014,21,33.3333,0.0
4625016015,29,72.4138,0.0
4625016016,16,68.75,0.0
4625016017,19,21.0526,5.2632
4625016018,45,84.4444,0.0
4625016019,22,45.4545,0.0
4625016020,14,92.8571,0.0
4625016021,62,96.7742,0.0
4625016022,11,72.7273,0.0
4625016023,90,77.7778,0.0
4625016024,25,44.0,8.0
4625016025,41,73.1707,0.0
4625016026,53,86.7925,1.8868
4625016027,26,80.7692,0.0
4625016028,12,0.0,8.3333
4625016029,14,0.0,28.5714
4625016030,22,22.7273,13.6364
4625016031,10,0.0,10.0
4625016032,63,7.9365,79.3651
4625016033,18,0.0,66.6667
4625017001,508,80.1181,2.1654
4625017002,317,84.5426,1.5773
4625017003,333,74.4745,3.6036
4625017006,318,80.8176,2.5157
4625017007,251,79.6813,2.7888
4625017008,134,47.7612,8.9552
4625018001,63,74.6032,3.1746
4625018002,132,80.303,2.2727
4625018003,200,78.5,2.0
4625018004,283,81.2721,3.1802
4625018005,201,87.0647,2.9851
4625018006,87,86.2069,3.4483
4625018007,185,65.9459,5.9459
4625018008,193,89.6373,2.0725
4625018009,201,75.1244,1.99
4625018010,30,56.6667,0.0
4625019001,327,77.9817,0.0
4625019002,143,91.6084,0.0
4625019003,329,78.4195,1.5198
4625019004,167,82.0359,2.994
4625019005,702,69.0883,2.4217
4625019006,161,58.3851,1.2422
4625019007,381,62.4672,2.8871
4625019008,152,90.1316,0.6579
4625019009,431,76.3341,1.8561
4625019011,62,90.3226,0.0
4625019012,335,73.4328,3.8806
4625019013,151,82.7815,0.6623
4625019014,22,77.2727,0.0
4625019015,165,75.1515,0.6061
4625019016,524,51.5267,0.7634
