cod_ine,pob_total,pob_2023
4625005013,1486,1385
4625005014,847,800
4625005015,1423,1327
4625005016,1142,1134
4625005017,872,885
4625005018,2501,2482
4625005021,1307,1267
4625005022,1697,1656
4625005025,2278,714
4625005027,1744,1777
4625005028,1165,1123
4625005029,1200,1156
4625005031,1083,1033
4625005033,1732,1734
4625005034,1586,1493
4625005036,1256,1205
4625005037,804,763
4625005038,1462,1393
4625005039,1750,1700
4625005040,1898,1830
4625005041,1425,1424
4625005042,1690,1595
4625005043,1983,1955
4625005044,1147,1102
4625006001,1413,1395
4625006002,1630,1598
4625006003,1028,1001
4625006004,1662,1593
4625006006,1255,1225
4625006007,1296,1325
4625006008,1900,1902
4625006009,1456,1406
4625006011,878,858
4625006012,1146,1106
4625006013,1439,1401
4625006014,1600,1557
4625006015,2121,2082
4625006016,877,841
4625006017,1764,1746
4625006018,1028,1043
4625006019,1027,1014
4625006021,807,812
4625006022,1038,967
4625006023,1222,1155
4625006024,1552,1559
4625006026,1682,1629
4625006027,1281,1248
4625007001,1274,1215
4625007002,1965,1818
4625007003,1440,1384
4625007004,990,919
4625007005,1220,1126
4625007006,1225,1162
4625007007,1201,1108
4625007008,831,763
4625007009,1253,1120
4625007010,2079,2000
4625007012,1117,1126
4625007013,1024,1009
4625007014,1043,1011
4625007015,1159,1136
4625007016,2002,1882
4625007017,2096,2003
4625007018,1291,1210
4625007019,1648,1612
4625007020,1771,1708
4625007021,1421,1348
4625007022,1483,1381
4625007023,795,764
4625007024,1458,1350
4625007025,1072,985
4625007026,1228,1139
4625007027,4019,3566
4625007030,1761,1502
4625007031,1064,1042
4625007032,1247,1231
4625007036,1822,1701
4625007037,2127,1923
4625007039,1389,1389
4625007040,1240,1281
4625007041,1105,1062
4625007042,2311,2282
4625008001,1954,1864
4625008002,821,814
4625008003,826,823
4625008004,1824,1721
4625008006,1086,1041
4625008007,1102,1102
4625008008,909,878
4625008009,864,861
4625008010,2312,2272
4625008012,1373,1378
4625008013,2076,2101
4625008014,1799,1773
4625008015,1035,1033
4625008016,784,726
4625008017,818,810
4625008018,2239,2243
4625008019,2124,1975
4625008020,1845,1834
4625008021,1435,1427
4625008022,1405,1363
4625008023,939,928
4625008024,1605,1509
4625008025,788,794
4625008026,1518,1462
4625008027,2223,1982
4625008028,742,765
4625008029,2349,1637
4625008030,2121,2045
4625008031,1785,1753
4625008032,1928,1899
4625008033,1669,1670
4625008034,1605,1588
4625008035,2278,2272
4625008036,1152,1150
4625008037,1410,1379
4625008038,1346,1399
4625008039,1033,1037
4625008040,1101,1102
4625008041,1285,1283
4625008042,2419,2410
4625009001,1307,1283
4625009002,1031,1045
4625009003,1157,1143
4625009004,1053,1008
4625009005,2287,2085
4625009007,1765,1588
4625009008,976,956
4625009009,1889,1776
4625009010,1780,1710
4625009012,1257,1200
4625009013,1932,1848
4625009015,1320,1181
4625009016,1498,1443
4625009017,955,916
4625009018,1871,1870
4625009019,1380,1314
4625009020,1624,1623
4625009021,1836,1868
4625009022,1216,1217
4625009023,1227,1197
4625009024,1062,1041
4625009025,1434,1363
4625009026,1772,1703
4625009028,1800,1801
4625009029,1141,1155
4625009030,2029,1925
4625009031,1972,1890
4625009032,1124,1060
4625009033,951,865
4625009034,890,803
4625009035,1026,1013
4625009036,750,755
4625009037,968,899
4625009038,2264,2198
4625009039,1685,1670
4625009040,942,885
4625009041,1656,1621
4625009042,1353,1373
4625010001,2074,1993
4625010002,1654,1593
4625010003,1955,1932
4625010004,1296,1264
4625010005,1457,1370
4625010006,1391,1349
4625010007,2123,2105
4625010008,1804,1705
4625010009,1146,1061
4625010010,1134,1092
4625010011,935,889
4625010012,835,813
4625010013,1752,1714
4625010014,1144,1099
4625010015,991,974
4625010016,1402,1373
4625010017,1214,1158
4625010018,1625,1631
4625010019,1394,1341
4625010021,1846,1778
4625010022,2284,2194
4625010023,1149,1176
4625010024,2248,2187
4625010025,1466,1336
4625010026,1808,1800
4625010027,929,948
4625010028,1299,1286
4625010029,1953,1892
4625010030,1299,1151
4625010031,2008,1932
4625010032,1708,1630
4625010033,1211,1190
4625010034,1548,1535
4625010035,1140,1104
4625010036,1019,917
4625010037,1136,1093
4625010039,2770,2500
4625010040,1963,1911
4625010041,873,769
4625010043,2723,791
4625010044,1268,1237
4625010045,797,841
4625010046,910,887
4625010047,1305,1271
4625010048,2224,1719
4625010049,1514,1490
4625010050,1211,1209
4625010051,1358,1344
4625010052,2137,2057
4625010053,2327,2240
4625010054,3263,2196
4625010055,3058,2017
4625011001,1674,1566
4625011002,1502,1415
4625011004,1299,1258
4625011005,1676,1730
4625011006,1272,1236
4625011008,2119,2047
4625011009,2428,2386
4625011011,1540,1539
4625011012,1755,1690
4625011015,867,834
4625011017,1640,789
4625011019,941,930
4625011021,1168,1174
4625011022,1094,989
4625011024,845,787
4625011026,1516,1419
4625011028,1471,1455
4625011030,1214,1191
4625011031,963,950
4625011032,1181,1103
4625011033,1803,1806
4625011034,1586,1573
4625011035,1056,945
4625011036,953,898
4625011037,978,909
4625011038,1433,1424
4625011039,1311,1262
4625011040,1112,1143
4625011041,2474,2411
4625011042,1299,1249
4625011044,1055,969
4625011045,1120,1012
4625011046,1625,1502
4625011047,1567,1411
4625011048,1276,1223
4625011050,1246,1221
4625011051,1103,1108
4625011052,1868,1861
4625011053,1777,1685
4625011054,1192,1188
4625011055,1428,1242
4625012001,1909,1825
4625012002,1287,1204
4625012003,1595,1541
4625012006,2074,1956
4625012008,1318,1314
4625012009,1030,1016
4625012010,1444,1392
4625012011,1096,1078
4625012012,1668,1669
4625012013,2165,2090
4625012014,1777,1728
4625012015,1263,1230
4625012016,1884,1867
4625012018,1443,1435
4625012019,1232,1206
4625012020,1199,1215
4625012021,2047,1940
4625012023,1202,1152
4625012024,1882,1887
4625012025,2403,2365
4625012026,1411,1380
4625012027,1270,1179
4625012028,1620,1610
4625012029,1426,1301
4625012030,1563,1474
4625012031,1409,1372
4625012032,985,946
4625012033,1409,1366
4625012034,1091,1035
4625012035,958,914
4625012036,1471,1491
4625012037,2591,2455
4625012038,1922,1947
4625012039,1467,1470
4625012040,1774,1766
4625012041,2432,2324
4625012042,1492,1476
4625012043,1205,1152
4625012044,1563,1574
4625012045,2101,2035
4625012046,1925,1748
4625012047,1039,1078
4625012048,1713,1641
4625013001,1907,1895
4625013002,2034,1999
4625013003,775,797
4625013004,1254,1170
4625013005,1457,1464
4625013007,915,886
4625013008,1343,1355
4625013009,935,923
4625013010,1354,1374
4625013011,706,676
4625013012,1948,1885
4625013013,871,841
4625013014,1531,1495
4625013015,1035,990
4625013016,1955,1886
4625013017,1376,1324
4625013019,964,979
4625013020,753,711
4625013021,1088,1068
4625013022,1190,1159
4625013023,1598,1570
4625013024,1711,1614
4625013025,1940,1917
4625013026,1033,1043
4625013027,1551,1307
4625013028,1360,1346
4625013029,864,850
4625013030,1055,1033
4625014001,1920,1900
4625014002,2254,1417
4625014004,1158,1141
4625014005,967,948
4625014006,1109,1058
4625014007,1021,984
4625014008,997,993
4625014009,1234,1177
4625014010,1564,1531
4625014012,1023,1019
4625014013,1480,1464
4625014014,1193,1186
4625014015,1215,1161
4625014016,1534,1526
4625014018,1406,1392
4625014019,1695,1683
4625014020,2206,2173
4625014021,1346,1356
4625014022,932,914
4625014023,978,949
4625014024,1243,1230
4625015001,1278,1149
4625015002,1106,996
4625015003,1247,1168
4625015004,1060,1017
4625015005,1809,1622
4625015006,1659,1563
4625015007,1190,1085
4625015008,1524,1335
4625015010,1349,1149
4625015011,1304,1063
4625015012,1568,1466
4625015013,1305,1230
4625015014,1558,1442
4625015015,1642,1432
4625015016,1683,1598
4625015017,1587,1499
4625015018,2038,1970
4625015019,1071,1043
4625015020,1569,1403
4625015021,2331,2221
4625015022,1548,1371
4625015023,1591,1548
4625015024,1716,1703
4625015025,1515,1360
4625015026,1516,1401
4625015027,1055,961
4625015028,1218,1103
4625015029,1054,1064
4625015030,1909,1863
4625015031,974,975
4625015032,971,882
4625015033,1322,1297
4625015034,1863,1856
4625015035,1539,1524
4625015036,1216,1151
4625015037,1848,1792
4625015038,2290,2201
4625015039,1329,1281
4625015040,1539,1487
4625016001,1682,1705
4625016002,1979,1896
4625016003,1973,1946
4625016004,873,810
4625016005,1770,1640
4625016006,2029,1842
4625016008,1739,1667
4625016009,1346,1260
4625016010,1154,1066
4625016011,1486,1444
4625016012,1052,1020
4625016013,1461,1328
4625016014,1338,1367
4625016015,1465,1477
4625016016,1332,1353
4625016017,1904,1924
4625016018,901,875
4625016019,1907,1744
4625016020,1629,1480
4625016021,1376,1297
4625016022,1092,1042
4625016023,2527,2335
4625016024,1437,1441
4625016025,1255,1272
4625016026,1443,1401
4625016027,1344,1341
4625016028,1343,1356
4625016029,2016,1826
4625016030,2007,1981
4625016031,1567,1497
4625016032,2791,2557
4625016033,1925,1476
4625017001,1471,1404
4625017002,738,687
4625017003,1228,1184
4625017006,1342,2583
4625017007,759,740
4625017008,1360,0
4625018001,1585,1507
4625018002,1107,1054
4625018003,989,981
4625018004,2434,2351
4625018005,1302,1207
4625018006,1562,1362
4625018007,1867,1721
4625018008,2050,1919
4625018009,1644,1547
4625018010,1036,1034
4625019001,1376,1306
4625019002,759,700
4625019003,1741,1640
4625019004,1246,1166
4625019005,2264,2256
4625019006,1852,1794
4625019007,809,742
4625019008,2066,1967
4625019009,759,748
4625019011,1066,979
4625019012,2734,2457
4625019013,1705,1619
4625019014,1618,1568
4625019015,1091,997
4625019016,1591,1473
